,Topic,Count,Name,Representation,Representative_Docs
42,41,4,41_sustainability_agriculture_consumer_industry,"['sustainability', 'agriculture', 'consumer', 'industry', 'food', 'affordability', 'environment', 'supply', 'reaction', 'ingredient']","[""accessibility affordability how is sustainability playing a role brett in menus today? i mean, i think it's part of the conversation, but not it was pre-covid i mean everybody was into getting rid of single use plastics and etc and then everything was locked down and sanitized and everything was wrapped in plastic again"", 'seeing a lot more conversations about where food is coming from and understanding more of that supply chain and shoring up the supply chain. so chain reaction looks at how disruptions to the food supply are becoming more frequent. so the need for the industry to encourage consumers to accept and to trust new', ""food and drink companies can demonstrate how technology and agriculture will work together to benefit consumers, farmers, and the environment. and much we just talked about with chain reaction, there is a consumer perception, we have to overcome, and a lot of this is related to the fact that we want nature and technology to be separated. and we get worried when those two lines meet, but much our regular lives where we've recognized the conveniences and efficiencies that""]"
43,42,4,42_cook_pasta_recipe_stir,"['cook', 'pasta', 'recipe', 'stir', 'flavor', 'kitchen', 'delicious', 'artichoke', 'ingredient', 'food']","[""a lot of stir fries a lot of noodle bowls i think udon is probably gonna have a little bit of a moment we've kind of seen i think over the last few years japanese cooking kind of come to the forefront or at the very least japanese flavors i think we talked last year about me so you know kind of infiltrating cooking and i'm really glad for it i love me so i think it's so delicious but i feel we're gonna see a lot more of that i think some of it kind of goes back to that"", ""i think especially in restaurants i've seen not a lot lately i feel but i also think we'll have more crossovers i'm trying to figure out how to describe it but an example would be a french onion pasta or a spinach artichoke pasta or you know we're kind of just it's a mash up across over of two different foods. why can i not think of pot and drink? no it's it's i get what you're saying and i'm i totally agree you're taking two different"", ""worlds and combining them. berya rahman is one that comes to mind right just your cut and i i feel i just keep seeing more and more of that too the more i'm eating out the more i'm looking at recipes and it's so interesting that you mentioned french onion pasta too because tyler she developed a really great french onion pasta recipe so i'll link to that as well in the show notes but i'm here for it there's there's a restaurant here in portland i've been""]"
44,43,4,43_pastry_croissant_bakery_dough,"['pastry', 'croissant', 'bakery', 'dough', 'dessert', 'biscuit', 'breakfast', 'cake', 'baker', 'cookie']","[""went to this bakery in new york a few weeks ago called le bray bakery and i've kind of seen it floating around on social media and so i was really excited to go try it it was so delicious breakfast it was it was so so and they had a lot of these classic french pastries you know croissants or that's the first one that immediately comes to my mind and they're you know thing that they do but they put a very distinctly middle eastern flare into all of their"", ""piece of cake. but i think we're going to start seeing this pop up on menus. i think people are going to start realizing , hey, how fun is it to make a dessert dumpling that we can put out there that looks this or whatever, you know, just or different fun fillings or comfort foods maybe in a dumpling. you know, stuff that. i think it's i think it's great. i love it. i love it. i love the. well, do you remember a couple of years ago, it was the same kind of idea that people were doing it as a food trend. i think in 21 or something, maybe even a little further back than that. but it was a. what can we put inside an egg roll? remember everybody had the g stake egg rolls they had buffalo chicken egg rolls. so this is where it gets tricky in their article. they're saying that it's it's not exactly doesn't have to be a dumpling."", ""whole spread of biscuits, a drop biscuit, one of the, , raised gosh, no, i can't remember brick. what do you call them? the you cut them out. , your proper name for that. , the biscuits. i mean, i know what you're talking about though, just to cut, using either a biscuit cutter or cutting squares. . totally. , that, you know, i agree with you and it's interesting, one of the most popular restaurants in the portland area is called""]"
45,44,4,44_cook_cookbook_prediction_exciting,"['cook', 'cookbook', 'prediction', 'exciting', 'recipe', 'april', 'forecast', 'food', 'dish', 'menu']","[""this past year in the show, and it's so . and the way that the hulumi crisps up but becomes melty on the inside is magical. it's the time for, i could pop the one in my mouth right so so so yummy. , okay, i another prediction i have for this next year is i think we're going to see french food have a moment. i love that. it's going to be more. i just think, i don't know, i feel i'm seeing beginnings of trends in menus where i'm eating in restaurants."", ""i've had, i haven't spent, i mean, we lived in texas for a year, which i know some people would say is not the south and some people would, but the true deep south, i've had a couple of chances over the years to go there and , the food scene there is just unparalleled. it's so . well, i love that and i hope that prediction comes to fruition this year because i just don't think you can have too much southern cooking. one of my predictions for this year was more olive oil."", 'what do you feel you saw this past year that we kind of forecasted a little bit? , okay. so i thought it was really fun how vintage recipe recipes played out. we saw, i feel a lot of castorals, a surprising number of castorals. i saw hot dishes in various places, which was kind of fun. so that was kind of a cool one. definitely. i agree with the cat. , vintage dishes. we actually, in partnership did a fun']"
46,45,4,45_box_packaging_takeout_food,"['box', 'packaging', 'takeout', 'food', 'pizza', 'chicken', 'aesthetic', 'festive', 'caviar', 'hut']","[""well, you know, i suppose it's one of those things where you have to have a takeout box if you're ordering takeout. and might as well make it look cute. . have it be aesthetic?"", '. or something that was popular at pizza hut, the three course festive box over the holidays. a triple treat box. , because you want to delight the ice. .', 'okay. because these food trend forecasters are saying the packaging is part of the food experience that gets overlooked. and now things are really hot. at the us open this year, you could get a 100 chicken and caviar box, which was chicken']"
47,46,4,46_ketchup_flavor_pepper_salsa,"['ketchup', 'flavor', 'pepper', 'salsa', 'sauce', 'pickle', 'culinary', 'burger', 'mayo', 'charcuterie']","[""so. cool flavored sauces. there's mayo ketchup. we've got salsa, sissy, hoisin, harissa. all of these things are hot and they're going to get even more flavor centric."", ""i'm calling this the year of the sauce. so sauces are really big. some of them are sort of more low brow, pickle flavored ranch dressing. but increasingly, you're seeing a lot of sauces that are maybe a little bit more up the culinary scale, you know, ahi verde or even places that are putting whiskey and ketchup."", ""but when you cook it over the flame, i agree with plum. it's it's you're you're going to , even the pepper crossing though does burn it a little bit. that's that's the idea. you want it. it's supposed to be better. it's that's the flavor you're going for. right. right. it's not a bad thing. it's just. . so finish with black pepper. it's about particularly on the grill unless you're doing op-wav which means covered in black pepper and burned. , which is why we don't pepper our burgers until the end. that's right. we saw them. salt them aggressively pepper move for your serve. that's right. and you put a lot of salt because if you don't, most of it falls off on the grill anyway. yep. i don't agree with overgritten deep. and this is all summertime grilling talk. we're not going to get into that yet because i was going to be deep into mixing and don't do any match. no, back it up. back it up. , we're not talking about that. we're talking about food trends for 2025. i think you're right, jeffie. how about forbes. those forbes got for us. all right. so the last one from forbes is and this one i love. it says year of the melon vibrant food. this will be in style this year's produce mvp will be a bit unexpected. it's going to be melons and not just watermelon and cantaloupe and honeydew. we're talking every type of melon hyper seasonal bile diverse melons. there's apparently there's a huge push for melons coming across christmas melons canary melons. horn melons. i don't know there was a melon verse. , i guess there's a whole melon verse and also doing cool things with melons. they're saying that cooking with melon, caramelizing the melons, preserving melon rinds. we're going to see all these melon pickles on char trutery boards. this is all what kind of boards. , char trucheach, boo. what boards, jeffie charcuterie boards. , you know what i everyone. you're welcome.""]"
48,47,4,47_gmos_vegetable_fruit_food,"['gmos', 'vegetable', 'fruit', 'food', 'tomato', 'consumer', 'genetic', 'nutritious', 'reaction', 'gm']","[""that had been irradiated, and therefore had a much longer shelf life. that goes way back. that's got to be 20 years now. i'm old enough to remember it, but i can't tell you when it was extremely clear. i can't either. i can't either. but i do remember at the time that it was even worse than gmos, the reaction was even worse than gmos because it was the word. it was the word. it was the word that was just so wrong. so, i think to your point of transparency and"", ""played in that. but that makes me think of another one of these issues that was also handled very, very badly, and that is the radiation. and all the benefits that a radiation can provide in so many categories, but how that did not go over with consumers at all. dan, i don't know if you recall. i forgot when it was renamed. at one point, they attempted to rename it, and i know in the us they were actively pushing a line of tomatoes"", ""each other and think with each other to come up with some small solutions. i was just going to emphasize that consumers are becoming open to that, david, your point about gm and genetic modification, that was something that was an absolute no-go, but our data on fruits and vegetables, especially in the us, is showcasing that consumers are open to this, if it's meaning that the fruit is more nutritious, or if it's tastier, for example, 49 of us fruit buyers would eat fruit""]"
49,48,3,48_increasingly_industry_climate_change,"['increasingly', 'industry', 'climate', 'change', 'trading', 'communication', 'communicate', 'market', 'action', 'situation']","[""to, you know, and how much of that will be honestly communicated, not only communicated, because that could set up some really interesting challenges for the industry somewhere down the line. you know, the next kind of stringflation potentially. i think that's also the challenge in terms of communication."", ""for example, being out of the european union now trading situations for many markets have changed substantially. and it's just not as easy or in as cheap to get hold of some of the ingredients that we wait to rely on. so things have begun to change over time, but at the moment, we're just substituting one source for another."", ""i think in terms of real action, i think it's quite hard to find it right now. but it's coming, it's surely coming because it's down to climate change. . but i think increasingly it's just down to the difficulties of trading. you know, with the situation in the ukraine and with situation with the uk,""]"
50,49,3,49_smoke_grill_smoker_flame,"['smoke', 'grill', 'smoker', 'flame', 'smoky', 'smokey', 'camping', 'pellet', 'cook', 'brisket']","[""just keeping that temperature where you want. that's the hardest part. that's why people get afraid of it. the pellet grill or pellet smoker takes that out of the equation. you set it and it's to go. . and it's fun. i mean, listen, i told you when i got mine, i was addicted to it. and you now have yours and you're , this is pretty awesome. , , absolutely. i got that right. which one do you have the rectify the rectic dual fire? it's a it doesn't so on mine. i don't i can't slide the thing across doesn't have that option. but i have one larger side that's more or less for smoking. you know, it can get pretty high than the other side. it's a smaller thing, but it has a larger burn. so when that burn pot's going, it's kind of you're grilling right over. , pop of direct flame. i mean, it gets 7800 degrees. i burn the state the other day by accident. i wasn't paying attention. and i was , my god, this is literally on fire. , you can get that thing between 500 and you know, at least over 500 degrees, 45500. it'll see you. you know, that can we talk about that for a second? sure. people , you know, , you need 1100 degrees to see your steak. no, that's insane. now, it's a huge that's how you burn a stick. if you want a nice crust, a serious be able to get the my art reaction to really penetrate and get that crust that we all love on a steak."", ""tailgating. absolutely. so , it's it's really, really cool. but i think you're right. you're seeing how much is becoming accessible to people and people are realizing that. you know, cooking with smoking, cooking with smoke is a fantastic way to cook. all right. one more quick question about this pickroast thing. and then i'll move on. i'm sorry. can you put it in the back of the truck and be smoking your brisket while you're driving to the game 100 my god. 100 absolutely. and the cool thing is to it also as a. it has a little slide where you push the slide aside. you can get direct flames. you want to grill something on it. , so you can steer the heck out of stuff. so you can reverse here on that thing really well too. , that's. , wow. it's pretty cool. man, you haven't seen it. i got to show it to you. it's pretty cool or pellet smoke. , i think you're right though with people. i mean pellet smoking you'll when you work over a go smoke or the hard part is maintaining the temperature."", ""that's all you got to do came out delicious little smoky olive oil cake. it was smokey. it was sweet. served it with a sweet and creme fresh, a little maple leaf creme fresh. i think you're right. you're going to see a lot more of that sort of stuff happening and coming out. you know, our friends are at pitboss sent me a battery powered pellet grill, which is kind of interesting. it has a big battery that we can charge in the last or 15 hours. i used to do the day and smoked when i smoked another day i smoked some, , i smoked some bonus country pork ribs on there. and they were delicious. and it works fantastic. and the battery lasts 15, 18 hours. it's crazy. and when you get one of those, that sounds awesome. so it's battery packs. you could just throw in the back of the car. and camping trip. you're smoking gentle camping trip. , because it is heavy. it's 50 pounds, 40 pounds. so you can't backpack with it. so it'd be more a parking camp camping site. right. right off the road or whatever. right. or tailgating is fantastic with it or.""]"
51,50,3,50_tiktok_instagram_follow_trend,"['tiktok', 'instagram', 'follow', 'trend', 'crunchy', 'recipe', 'katie', 'crave', 'food', 'definitely']","[""mitch actually, my husband, he is making some this week because he has been craving it ever since he saw it. it just looks so crunchy and refreshing. it's the ideal side or lunch, i guess, if you have, you know, something hardy or do it. absolutely. well, i, even though , let's say, if tiktok does become a black box, we still have instagram and there will still be plenty of trends over there. maybe not have the same twist, you know, as tiktok does. but i still think we're"", ""katie, but you we talked about just more tiktok recipes, ironic that we're bringing this up because apparently tiktoks going away. i know. is it just going to vanish? what? i think so. it's awesome. that was when you open tiktok next, it's just going to go black and then redirect your new website. i don't know. we've all died and gone to heaven or something. i don't know. or for to hurry, however you view it. kind of interesting. i mean,"", ""i have, you know, we've got a decent following on tiktok for female food. i'm definitely not as married to it as i am to instagram. i feel that's where i hang out, you know, again, i'm a millennial. i feel sad for people that have really built a presence in a community on there. but we i mean, i think this trend can apply to tiktok and instagram where, you know, we did see some very, i think we call them tiktok recipes because they just are so almost""]"
52,51,3,51_nutritional_antioxidant_spice_turmeric,"['nutritional', 'antioxidant', 'spice', 'turmeric', 'fruit', 'indulgence', 'salsa', 'sugar', 'sweetness', 'foodie']","[""other properties anti-inflammatories, which we know are found in spices turmeric and ginger and stuff that, which is pretty cool. now these are exciting trends. they're interesting trends. i don't think you need to hang your hat on them."", ""and now this trend reflects a growing desire for indulgence but without the price. and i'm a foodie as much as the next guy so i find this interesting from a nutritional perspective, they can make your everyday meals a little more interesting and exciting and not necessarily sacrificing any of your goals as long as the indulgent components are used in moderation."", ""are going to dominate menus and grocery aisles because of their natural sweetness, their bright colors, their rich nutrient profiles, their high antioxidants, vitamin c, fiber, you can add them to smoothies, to salsa's desserts, love it all and as always any other fruit they have calories, they have energy, they have natural sugars, they're great, they're high in fiber, and you should be aware of how much you're eating and that it aligns""]"
53,52,3,52_masa_tamale_komal_corn,"['masa', 'tamale', 'komal', 'corn', 'tortillas', 'dough', 'culinary', 'traditional', 'juarez', 'fatima']","['blue yellow, pink, white, brown, red, red. food and wine magazine is one of the places that says masa is having a moment. i asked the owners of komal if they found it slightly silly or strange to label in ancient culinary staple a trend. no, no, i mean we love being part of it. we are happy to promote it worldwide.', 'and these are traditional restaurants komal, konrado rivera, and his wife, chef fatima juarez, make masa from heirloom corn they buy exclusively from small family farmers. where the masa comes from? some of the varieties come from the poebla or wahaka or yugatana. and it comes in a rainbow of colors.', ""recently, it was named when if l.a. is most exciting new restaurants by the website eater. masa is ground corn dough, the basis of corn tortillas and tamales. it's treated with an alkaline agent lime in a process called nix-timalization. komal is just one of many acclaimed masa-focused restaurants now open around the country. on tiktok, people gleefully document meals at tatembo in houston that just got a michelin star.""]"
54,53,3,53_nutrition_medicine_healthy_food,"['nutrition', 'medicine', 'healthy', 'food', 'prescription', 'trend', 'news', 'drug', 'america', 'weight']","[""that would be about food as medicine, but it's very different now than it used to be as well. it is. it's something that we're seeing in some parts of the world. i'll highlight that's not everywhere, but glp1 prescription drugs that are actual medicines"", ""there's always new news. nutrition as much as we to think that there's tried and true. if you just look back in the last 20 or 30 years, there's been lots of zigz and zags in terms of what we consider healthy and that is going to continue to evolve. and i think honestly, we need the nutrition thought process to be more personalized."", ""and to me, that feels that's something that's truly universal. that we see everywhere to one degree or another. i think that's where a lot of the world outside north america still is with this trend. i think it's still much more about that kind of back to basics approach. there's lots of talk in many, many markers of course about weight loss drugs, but in most""]"
55,54,3,54_sustainability_benefit_sustainable_consumer,"['sustainability', 'benefit', 'sustainable', 'consumer', 'essential', 'communication', 'company', 'work', 'producer', 'make']","[""the adaptogens and the new tropics and all of the others out there. but that perhaps, if i'm reading this correctly, perhaps there's a place for all of those things. but to remember, companies, make sure you nail those basics first. ."", ""communication and brands getting behind what it is and what the benefits are being able to talk about those benefits. i think it was an absolute essential. a question about this particular trend, we've talked it often on just a little bit in some of these trends about sustainability, but this is really where sustainability does play a very big role as well. . i think it's taking a modern look at how we can make things more sustainable,"", ""the benefits to consumers and brains, can act as that bridge between the consumer and the producer. which i don't think they did very well last time, they're just going to say, we're not going to do anything, we don't need anything to do with it, they backed away from it, and i think we need a more positive approach, a bit more engaged, a bit more proactive, and act as a proper bridge between the two sides effectively. we shouldn't be against each other, they should be able to work with""]"
56,55,3,55_rebellion_rural_dichotomy_trend,"['rebellion', 'rural', 'dichotomy', 'trend', 'nutrition', 'snack', 'consumer', 'nutritious', 'fundamentally', 'snacker']","[""so for those listening in, i'm going to name the four trends. i'm not going to explain them because we'll talk to each one. we're going to start with fundamentally nutritious, then talk about rural rebellion. the next one is chain reaction and our last one is hybrid barfists. so to kick us off that fundamentally nutrition."", 'well, early, early, early, very early 2000, where consumers were super snackers, were consumers who snack five or more times a week. and now, , and now the data is five or more times a day. are the super snackers. so i think that too really fits into that whole idea of rural rebellion.', ""obviously, you have been in this order for a reason. but talking about those opposites and dichotomies, i think rural rebellion is really what this one is all about, isn't it? . rural rebellion is more on that indulgent side.""]"
57,56,3,56_food_recipe_salad_concept,"['food', 'recipe', 'salad', 'concept', 'tiktok', 'container', 'trend', 'art', 'refinement', 'description']","[""you know, it's a whole container of descriptions and how to eat all of them. it's really great. so it is so so take out his art, which we see so much of. anyway, that was it. food trends."", ""hacky and off the cuff. there's there's not as much refinement to them. i feel the tiktok recipe of the share was the cucumber salad. , for sure. the creator, his name is logan. and you remember how how does he start every video? it's something to the effect of. sometimes you just have to eat the entire cucumber. let me show you how i, and then he's got the, my gosh, what do you call it? the mandolin. , the mandolin. he slices the whole cucumber, which"", ""concepts also people are looking for i mean when they're not posting everything on tiktok tiktok and instagram and wonder everything to be complicated and have a bunch of garbage in it so that people will be excited by it when they're just eating they are eating straightforward things which i think is going back to martini is is why they want that they want something that's""]"
58,57,3,57_fiber_gluten_legume_oatmeal,"['fiber', 'gluten', 'legume', 'oatmeal', 'eat', 'calorie', 'oats', 'consume', 'grain', 'yogurt']","[""i'm going to go with this is absolutely real. i hope that this is a trend. i think that the numbers are pretty i didn't actually know that only 5 of americans are getting enough fiber. so a really simple calculation is if you just take the amount of calories. so for every 1000 calories that you're consuming, if you aim to get 10 grams of fiber, you're in a spot. i mean, you could really go higher than that. it's kind of a baseline. so you're eating"", ""1000 calories and you're getting 10 grams of fiber. probably a little bit, i mean, you're going to be low on your calories. so that's why the fiber is seems low. but if you're getting 1500 calories, which is also a little bit low and you're getting 15 grams of fiber, 2000 calories, you're getting 20 grams of fiber. that's a starting point as a lower level target to aim at and then build up from there. , there is a point of going too high. but i don't think that that's really a concern for"", 'most people given these statistics that only 5 are getting enough fiber. typically, what i do is i aim for around 25 to 35 grams of fiber per day. you know, fruits, vegetables, nuts, seeds, whole grains, legumes, berries are a great source. we always have apples and pears in our house, rolled oats, different types of, i do some gluten free granola that i can throw in the oatmeal or some yogurt, that sort of thing. fiber is vegetables, things that are avocados. so ,']"
59,58,3,58_nutrition_vitamin_ingredient_medicine,"['nutrition', 'vitamin', 'ingredient', 'medicine', 'nutritious', 'protein', 'change', 'fundamentally', 'functionality', 'fiber']","[""what you need and what i need and what 10 other people in any given room need are very different and we've not looked at it that way historically. i think as the industry continues to evolve to a better understanding of personalized nutrition, that will continue to drive change as well."", ""ingredients adaptogens and neutropics. it's really about making sure that we're getting what we need on a daily basis in those fundamentally nutritious recommendations. so that's really then kind of gone back to where we were before to a certain degree in talking about, as you said, talking about the basics."", ""now what we're seeing when we introduce these medicines is that people are looking more at the nutrition levels, those basics. so how much protein are they getting in their day? how much fiber are they getting the vitamins and minerals and really pairing things back to the basics before we add on those different functionalities and getting into those emerging""]"
60,59,3,59_sour_flavor_cheeto_sourness,"['sour', 'flavor', 'cheeto', 'sourness', 'food', 'yogurt', 'lemon', 'pistachio', 'pickle', 'trendy']","[""no, hot cheetos are always a thing. that came from before. , that's from the pickles and a fermented things i think was last year. , that's true. everything."", ""if you sour cherry, pucker up, it's one of the foods and flavors predicted to be trendy in 2025 as npr's netta ulibi reports. industry groups, famous chefs and trend watchers have picked sour cherry, pistachio, and briny flavors as hot for 2025. and when it comes to eating out, expect to see muto masa. masa is present all across the menu. conrado rivera runs a popular food stall in los angeles called komal with his wife."", "", same. . so i thought this was cute. sour has duality. when meat or milk or vegetables develop a sour smell, it signals spoilage. it's a natural warning system. we equate sourness with risk. on the other hand, when sourness is intentional, lemon, cider vinegar, greek yogurt, it becomes a marker of health and appeal. it shifts the perception of sourness from risk to something acceptable. that's kind of cool. i thought it was kind of cool. . that was kind of cool. so 2025, things that""]"
61,60,3,60_pranath_sauce_indian_celebrate,"['pranath', 'sauce', 'indian', 'celebrate', 'hi', 'food', 'craze', 'come', 'people', '']","['hi, pranath.', ""i don't know how that's different from any other year because i love sauces. and people not have sauces. i don't know. i mean, who doesn't love a sauce, right? all right."", ""that's a way to put it celebrating it. i love that. , it has come to pass that we're starting to identify the people behind many of the food trends that we've seen. and i've been saying for 20 years that modern indian food is the next craze and it just hasn't happened. maybe that's 2026. i think it's starting to happen right now. it's starting to happen for sure. i love the idea of the sauce though, because for me,""]"
62,61,3,61_la_report_journalism_lais,"['la', 'report', 'journalism', 'lais', 'laist', 'city', 'podcast', 'california', 'live', 'listen']","[""we love la. make one of your new year's resolutions to explore la in the new year. from palmdale to cactus city, lagoon and igel to ila vista or somewhere in between. la is here for you and your community. we hope you hold your public officials to account. find the best curry and reduce your carbon footprint."", ""the la report is made possible by listeners you. that's why we ask you to donate at lais.com slash join so we can keep the la report and trust at local journalism coming your way every day. this podcast is supported by gordon and donna crawford who believe quality journalism makes southern california a better place to live."", ""the la report is produced by libby rainy antiphany ugda with help today from jason rodriguez. megan garvey is the executive editor, catherine mailhouse, is our director of content development. our engineer is tui mao, original music by scott kelly. you can read more about this evening's stories at lais.com. you can also listen live anytime on the laist app or on the radio at 89.3 fm.""]"
63,62,3,62_fashion_trend_point_concept,"['fashion', 'trend', 'point', 'concept', 'aspirational', 'life', 'people', 'health', 'stress', 'feel']","["". that's what this is all about, right? right. even with fashion. , ."", ""we're so disconnected. people want to be seen. they do. they do. so, okay, that's that."", ""it's just what feels , what tastes , what's fun. and we need that in our lives with so much stress and anxiety and uncertainty. , i think there's a really nice point, maid, in the deck actually around the trend, is around this concept of the health, isn't always aspirational. and i think that was quite insightful when i read that.""]"
64,63,3,63_jellyfish_pasta_oyster_meat,"['jellyfish', 'pasta', 'oyster', 'meat', 'beef', 'spaghetti', 'chicken', 'noodle', 'tofu', 'pesto']","[""but they are really oyster mushrooms. and i love that kind of connection there. but , i don't have a ton of fake meat in there. you know, i do have a burger in there called my american guy that's made out of impossible or beyond. but it's a nice mixture i think of grains and tofu and vegetables. but i'm not trying to be chicken or beef. , i know. i don't know about your cooking is that it doesn't feel to me you're trying to be a meathouse."", ""that's up there with people i've seen who have been catching jellyfish and making jellyfish pasta. no, they don't do that. that's a thing though. are you cut that you get the jellyfish and they cut them really really thin pasta and it's it's jellyfish pasta. i tried jellyfish once at a dim sum restaurant. i said, no, i want to order from this menu and it was all in mandarin. and they said, no, this isn't for you. and i said that i want this. and they said, okay. and then they sent me out all duck tongues and i ate a lot of it. i tried the jellyfish. and it was not . not . it was bitter spaghetti. it tasted i did someone to pop up restaurant that i did. i did. i use jellyfish noodles and it was pretty . really?"", ""what was it? what was your mine was simple. well, i mean, it was my dish. i mean, so we just got the jellyfish. i got the jellyfish noodles. i mean, i think it was a pretty one. i mean, i think it was a pretty one. i mean, i think it was a pretty one. i mean, i think it was a pretty one. i mean, i think it was a pretty one. i think it was a pretty one. i think it was a pretty one. i mean, try that. now you're making me want to try jellyfish noodles again. and they weren't super chewy. you think they would be because they were cut really thin. i don't know. it wasn't bad. i mean, but it was fun to be , this is jellyfish noodles. and we had an entire intake on a little pesto. it was cool.""]"
65,64,3,64_grocery_supermarket_food_wipe,"['grocery', 'supermarket', 'food', 'wipe', 'market', 'people', 'remember', 'checkout', 'holdout', 'wonder']","['is there were no employees. you just go in and buy what you want. and then did that? i know the checkouts in the supermarkets are popping up. .', ""huh. and i'm just going , you know how much of your food's been touched by the time it gets to the supermarket? that's it. i wonder if that's a holdout from the, do you remember when we were wiping our groceries"", ""you know, so there's, i think there's a little bit of a pushback on the self-checking of groceries. well, i remember checking out in my local market and there was eight people standing in line to do the self-serve and there were three or four man checkouts, two of which were empty.""]"
